broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,570,ကဍာ်,kaˀ-ɗak ,กะ-ดาก ,,,n,ปลาเค้า,n,อีกา,,,,,,,,,,,,,,,
,571,ကဍာ်ဂြိုပ်,kaˀ-ɗak-krɤˀp ,กะ-ดาก-เกริ่บ ,,,n,อีกาป่า,,,,,,,,,,,,,,,,,
,572,ကဍာ်ဗတင်,kaˀ-ɗak-pɛ̀ˀ-taˀŋ ,กะ-ดาก-เปี่ยะ-ตัง ,,,n,ปั้นจั่น,n,นกใหญ่ชนิดหนึ่ง,,,,,,,,,,,,,,,
,573,ကဍာ်ဗနံင်,kaˀ-ɗak-pɛ̀ˀ-nɒˀŋ ,กะ-ดาก-เปี่ยะ-น่อง ,,,n,นกดุเหว่า,,,,,,,,,,,,,,,,,
,574,ကဍာ်သၟိင်ရာံ,kaˀ-ɗak-saˀmɤŋ-rèm ,กะ-ดาก-ซะเมิง-เร่ม ,,,n,อีกาพระราม,,,,,,,,,,,,,,,,,
,575,ကဍာင်,kaˀ-ɗaŋ ,กะ-ดาง ,,,n,เหล็กกล้า,,,,,,,,,,,,,,,,,
,576,ကဍောပ်,kaˀ-ɗop ,กะ-โดบ ,,,v,หุบ,,,,,,,,,,,,,,,,,
,577,ကတဝေဒဳ,kaˀ-taˀ-wè-tì ,กะ-ตะ-เว่-ตี่ ,,,v,กตเวที,v,สนองคุณที่เขาได้ทำแก่ตัว,,,,,,,,,,,,,,,
,578,ကတက်,kaˀ-taˀk ,กะ-ตัก ,,,n,ท้ายทอย,,,,,,,,,,,,,,,,,
,579,ကတင်ၜဴ,kaˀ-taˀŋ-ɓao ,กะ-ตัง-บาว ,,,n,ปลาซิวอ้าว,,,,,,,,,,,,,,,,,
,580,ကတညူ,kaˀ-tɒɲ-ɲù ,กะ-ตอญ-ญู่ ,,,v,กตัญญู,v,รู้จักคุณที่เขาทำให้แก่ตัว,,,,,,,,,,,,,,,
,581,ကတာတ်,kaˀ-tat ,กะ-ตาด ,,,v,คลึง,v,ทำให้เป็นรูปทรงต่างๆ,v,ปั่นด้วยฝ่ามือสองข้าง,,,,,,,,,,,,,
,582,ကတာတ်ဖလေက်,kaˀ-tat-pʰaˀ-lɛ̀ˀk ,กะ-ตาด-พะ-เลี่ยก ,,,v,ขยี้ให้ละเอียดเป็นผง,,,,,,,,,,,,,,,,,
,583,ကတေ,kaˀ-te ,กะ-เต ,,,n,ปลาเค้าขนาดใหญ่,,,,,,,,,,,,,,,,,
,584,ကတောဝ်,kaˀ-tow ,กะ-โตว ,,,n,หู,,,,,,,,,,,,,,,,,
,585,ကတဴ,kaˀ-tao ,กะ-ตาว ,,,adj,ร้อน,,,,,,,,,,,,,,,,,
,586,ကတဴကတာန်,kaˀ-tao-kaˀ-tan ,กะ-ตาว-กะ-ตาน ,,,v,ร้อนนอกร้อนใน,v,เดือดร้อน,,,,,,,,,,,,,,,
,587,ကတဴကတာန်စံင်သၞာ,kaˀ-tao-kaˀ-tan-cɒŋ-saˀna ,กะ-ตาว-กะ-ตาน-จอง-ซะนา ,,,adj,ทุรนทุราย,adj,เดือดร้อน,,,,,,,,,,,,,,,
