broken,no,word,ipa,th,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,207,အယုက်အထက်,ʔaˀ-jɤˀk-ʔaˀ-tʰaˀk ,อะ-เยิ่ก-อะ-ทัก ,,n,อายุอานาม,,,,,,,,,,,,,,,,,
,208,အယုတ်,ʔaˀ-jùˀt ,อะ-ยุ่ด ,,n,คนเลวทราม,n,คนชั่วช้า,,,,,,,,,,,,,,,
,209,အယော,ʔaˀ-jəʊ ,อะ-โยว ,,n,เกียรติยศ,,,,,,,,,,,,,,,,,
,210,အယောင်အလာ,ʔaˀ-jòŋ-ʔaˀ-lɛ̀a ,อะ-โย่ง-อะ-เลีย ,,n,บุคลิก,n,ท่าทาง,n,คุณสมบัติ,,,,,,,,,,,,,
,211,အယဴဖိုင်,ʔaˀ-jɛ̀a-pʰɒŋ ,อะ-เยีย-พาฺง ,,n,แมงมุม,,,,,,,,,,,,,,,,,
,212,အယဴ,ʔaˀ-jɛ̀a ,อะ-เยีย ,,n,แมงป่อง,,,,,,,,,,,,,,,,,
,213,အယှံင်,ʔaˀ-hjɒŋ ,อะ-ฮยอง ,,n,ขวานขุด,n,ผึ่ง,,,,,,,,,,,,,,,
,214,အယိုင်,ʔaˀ-jə̤ŋ ,อะ-ย่าฺง ,,n,น้ำหนัก,n,ประกัน,n,การรับผิดชอบ,n,การรับภาระ,,,,,,,,,,,
,215,အရထ,ʔaˀ-rɛ̀ˀ-tʰaˀ ,อะ-เรี่ยะ-ทะ ,,n,คำแปล,n,อรรถกถา,,,,,,,,,,,,,,,
,216,အရဟတ္တ,ʔaˀ-rɛ̀ˀ-hɒt-taˀ ,อะ-เรี่ยะ-ฮอด-ตะ ,,n,พระอรหันต์,,,,,,,,,,,,,,,,,
,217,အရက်,ʔaˀ-rɛˀk ,อะ-แร่ก ,,n,เหล้า,n,สุรา,,,,,,,,,,,,,,,
,218,အရင်,ʔaˀ-rɛˀŋ ,อะ-แร่ง ,,n,ส่วนแบ่ง,adj,แท้ ๆ,adj,ดั้งเดิม,,,,,,,,,,,,,
OK,219,အရည,ʔaˀ-ròɲ-ɲɛ̀ˀ ,อะ-ร่ญ-เญี่ยะ ,,n,ป่า,,,,,,,,,,,,,,,,,
,220,အရှန်,ʔaˀ-hrɒn ,อะ-ฮรอน ,,n,พระอรหันต์,,,,,,,,,,,,,,,,,
,221,အရပ်,ʔaˀ-ròp ,อะ-ร่บ ,,prep,เป็นของ,n,สิ่งของ,n,เจ้าของ,,,,,,,,,,,,,
,222,အရပ်အရာ,ʔaˀ-ròp-ʔaˀ-rɛ̀a ,อะ-ร่บ-อะ-เรีย ,,n,เจ้าของ,n,สิ่งของ,n,การแสดงความเป็นเจ้าเข้าเจ้าของ,,,,,,,,,,,,,
,223,အရာ,ʔaˀ-rɛ̀a ,อะ-เรีย ,,pron,ของที่,pron,สิ่งที่,,,,,,,,,,,,,အရာဒနာမိတ်,pron,สิ่งที่ปรารถนา
,224,အရာပ်,ʔaˀ-rèp ,อะ-เร่บ ,,n,ย่าน,n,บาง,n,หมู่บ้าน,,,,,,,,,,,,,
,225,အရိယ,ʔaˀ-rìˀ-jɛ̀ˀ ,อะ-ริ่-เยี่ยะ ,,n,พระศรีอริยเมตไตรย,n,ผู้ประเสริฐ,,,,,,,,,,,,,,,
,226,အရဳ,ʔaˀ-rì ,อะ-รี่ ,,n,พระอริยเจ้า,n,พระอริยบุคคล,n,บุคคลผู้ประเสริฐ,,,,,,,,,,,,,
,227,အရုတ်,ʔaˀ-rùˀt ,อะ-รุ่ด ,,n,เต่า,,,,,,,,,,,,,,,,,
,228,အရုပ်,ʔaˀ-rùˀp ,อะ-รุ่บ ,,n,อรูปพรหม,,,,,,,,,,,,,,,,,
,229,အရေဝ်,ʔaˀ-rèw ,อะ-เร่ว ,,n,คำพูด,n,ภาษา,,,,,,,,,,,,,,,
,230,အရေဟ်အသေဟ်,ʔaˀ-rèˀh-ʔaˀ-seh ,อะ-เร่ฮ-อะ-เซฮ ,,n,การแสดงความนับถือ,n,การยกย่อง,,,,,,,,,,,,,,,
,231,အရောဲမတ်,ʔaˀ-ròa-mòt ,อะ-รั่ว-ม่ด ,,n,สิ่งที่บาดหูบาดตา,n,ความอิจฉาริษยา,,,,,,,,,,,,,,,
,232,အရံင်,ʔaˀ-rɒˀŋ ,อะ-ร่อง ,,n,สี,n,รัศมี,n,แสง,,,,,,,,,,,,,
,233,အရံင်ဍာ်မိတ်,ʔaˀ-rɒˀŋ-ɗak-mìˀt ,อะ-ร่อง-ดาก-มิ่ด ,,n,สีเหลือง,,,,,,,,,,,,,,,,,
,234,အရံင်ဍီု,ʔaˀ-rɒˀŋ-ɗɒm ,อะ-ร่อง-ดอฺม ,,n,สีกรมท่า,n,สีตากุ้ง,,,,,,,,,,,,,,,
,235,အရံင်ဗ္ကေတ်,ʔaˀ-rɒˀŋ-pɛ̀ˀ-ket ,อะ-ร่อง-เปี่ยะ-เกด ,,n,สีแดง,,,,,,,,,,,,,,,,,
,236,အရံင်လစံက်,ʔaˀ-rɒˀŋ-lɛ̀ˀ-cɒk ,อะ-ร่อง-เลี่ยะ-จอก ,,n,สีดำ,,,,,,,,,,,,,,,,,
,237,အရံင်သ္ၚေက်,ʔaˀ-rɒˀŋ-saˀŋɒk ,อะ-ร่อง-ซะงอฺก ,,n,สีเขียว,,,,,,,,,,,,,,,,,
,238,အရံင်အံင်သူ,ʔaˀ-rɒˀŋ-ʔɒŋ-sao ,อะ-ร่อง-ออง-ซาว ,,n,ลำแสง,n,รัศมี,n,รังสี,,,,,,,,,,,,,
,239,အရိုင်,ʔaˀ-rə̤ŋ ,อะ-ร่าฺง ,,adj,หยาบคาย,adj,กักขฬะ,adj,ป่าเถื่อน,,,,,,,,,,,,,
,240,အရှိုန်စါက်,ʔaˀ-hrɒn-cak ,อะ-ฮรอฺน-จาก ,,n,อรุณรุ่ง,,,,,,,,,,,,,,,,,
,241,အရီု,ʔaˀ-rɤˀm ,อะ-เริ่ม ,,n,อารมณ์,n,ความรู้สึก,,,,,,,,,,,,,,,
,242,အလင်ကာရ,ʔaˀ-lɛˀŋ-ka-rɛ̀ˀ ,อะ-แล่ง-กา-เรี่ยะ ,,n,เครื่องประดับ,,,,,,,,,,,,,,,,,
,243,အလဇ္ဇဳ,ʔaˀ-lòc-cì ,อะ-ล่จ-จี่ ,,n,อลัชชี,n,ผู้ไม่ละอาย,,,,,,,,,,,,,,,
,244,အလာံ,ʔaˀ-lèm ,อะ-เล่ม ,,n,ธง,,,,,,,,,,,,,,,,,
,245,အလိတ်,ʔaˀ-lìˀt ,อะ-ลิ่ด ,,n,อุบาย,n,แผนการ,n,เล่ห์กล,n,เล่ห์เหลี่ยม,,,,,,,,,,,
,246,အလိန္ဒ,ʔaˀ-lìˀn-tɛ̀ˀ ,อะ-ลิ่น-เตี่ยะ ,,n,ชั้น,n,หิ้ง,n,ระเบียง,,,,,,,,,,,,,
,247,အလီ,ʔaˀ-lìˀm ,อะ-ลิ่ม ,,n,การหลอกลวง,n,กลลวง,,,,,,,,,,,,,,,
,248,အလှု,ʔaˀ-hlaò ,อะ-เฮล่า ,,n,มันฝรั่ง,,,,,,,,,,,,,,,,,
,249,အလု,ʔaˀ-luˀ ,อะ-ลุ่ ,,n,เขาควาย,n,เขาเกก,n,เขาควายที่ปลายงอไปคนละทางกัน,,,,,,,,,,,,,
,250,အလုင်,ʔaˀ-lɤˀŋ ,อะ-เลิ่ง ,,n,ที่นั่งชนิดหนึ่ง,,,,,,,,,,,,,,,,,
,251,အလုံ,ʔaˀ-lùm ,อะ-ลุ่ม ,,adj,ทั่วไป,adj,ตลอด,adj,ทุกส่วน,adj,ถ้วนทั่ว,,,,,,,,,အလုံမွဲရး,adj,ทั่วประเทศ
,252,အလေဝ်,ʔaˀ-lèw ,อะ-เล่ว ,,adv,เฉพาะ,adv,ลำพัง,adv,ด้วยตัวเอง,,,,,,,,,,,,,
,253,အလေံ,ʔaˀ-lèm ,อะ-เล่ม ,,n,ขนบ,n,ธรรมเนียม,n,จารีต,n,ความประพฤติอันดีงาม,,,,,,,,,,,
,254,အလဲ,ʔaˀ-lòa ,อะ-ลั่ว ,,n,ความปราถนา,n,ความต้องการ,n,ความอยาก,,,,,,,,,,,,,
,255,အလောန်,ʔaˀ-lòn ,อะ-โล่น ,,n,ครั้ง,n,คราว,,,,,,,,,,,,,,,
,256,အလိုက်,ʔaˀ-lə̤k ,อะ-ล่าฺก ,,n,ท่าทาง,n,การเอาอย่าง,n,การเลียนแบบ,n,แบบอย่าง,,,,,,,,,,,
